time_utc,2m_temperature,2m_dewpoint_temperature,maximum_2m_temperature_since_previous_post_processing,minimum_2m_temperature_since_previous_post_processing,surface_pressure,mean_sea_level_pressure,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_gust_since_previous_post_processing,total_precipitation,convective_precipitation,large_scale_precipitation,mean_total_precipitation_rate,total_column_water_vapour,total_cloud_cover,geopotential,convective_available_potential_energy,precip_rate_mm_per_hr,precip_1h,precip_3h,precip_6h,wind_speed_10m,wind_dir_10m_deg,wind_gust_10m,wind_gust_dir_deg,morning_temp,afternoon_temp,daily_min_temp,daily_max_temp,morning_rh,afternoon_rh,daily_rh_min,daily_rh_max,dewpoint_depression_c,station_lat,station_lon,time_local,label
2022-07-01 10:00:00,287.6237,273.87115,286.3888,285.93625,55794.29,100573.87,1.0081847,-0.38477203,7.594274,0.23716906,0.00021676012,2.0418553e-05,6.588566e-05,9.677384,0.67709196,48655.01,289.50623,6.588566e-05,0.2371690571308136,0.6408840268850327,0.9006893150508404,1.0791134549451074,290.8892732622226,7.594274,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,13.752533,34.17,77.38,2022-07-01 15:30:00+05:30,1
2022-07-01 11:00:00,287.28683,273.1225,286.15475,285.476,55772.016,100527.94,1.009089,-0.6043487,7.940484,0.48109883,0.00045312534,2.7994196e-05,0.00013363935,9.870864,0.7014976,48655.01,320.2644,0.00013363935,0.4810988306999206,0.9855386912822724,1.349123440682888,1.176221905187158,300.91761423986526,7.940484,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,14.164337,34.17,77.38,2022-07-01 16:30:00+05:30,1
2022-07-01 12:00:00,286.99854,272.67908,285.42944,284.93753,55768.44,100559.04,0.82658434,-0.6384378,7.916016,0.23279697,0.00019917297,3.361507e-05,6.465559e-05,9.770809,0.7348425,48655.01,278.14783,6.465559e-05,0.2327969670295715,0.9510648548603058,1.4850479513406754,1.0444350165695035,307.68180592447027,7.916016,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,14.319458,34.17,77.38,2022-07-01 17:30:00+05:30,1
2022-07-01 13:00:00,286.54333,271.94122,284.955,284.27728,55766.145,100614.664,0.6046228,-0.4783407,7.508907,0.24108376,0.00020581247,3.5256267e-05,6.696321e-05,9.668845,0.74165046,48655.01,211.52927,6.696321e-05,0.2410837560892105,0.9549795538187028,1.5958635807037354,0.7709594794259332,308.34889682914434,7.508907,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,14.602112,34.17,77.38,2022-07-01 18:30:00+05:30,1
2022-07-01 14:00:00,284.9446,273.19577,284.17004,283.25333,55789.258,100710.1,0.3803491,-0.14124148,6.661644,0.11261635,8.434365e-05,2.8256623e-05,3.1276355e-05,9.477983,0.67260796,48655.01,201.8254,3.1276355e-05,0.1126163527369499,0.586497075855732,1.5720357671380043,0.4057272385724358,290.37232521479643,6.661644,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,11.74884,34.17,77.38,2022-07-01 19:30:00+05:30,1
2022-07-01 15:00:00,283.36514,273.82626,283.211,282.38794,55814.746,100812.0,0.24171618,0.14308277,6.0910563,0.09678754,5.5236713e-05,4.157022e-05,2.6891747e-05,9.288249,0.5722225,48655.01,162.53522,2.6891747e-05,0.096787542104721,0.4504876509308815,1.4015525057911873,0.2808903492310279,239.37678575412056,6.0910563,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,9.538879,34.17,77.38,2022-07-01 20:30:00+05:30,1
2022-07-01 16:00:00,282.89755,273.7568,282.2647,281.57657,55861.574,100943.06,0.06089729,0.18543276,5.74407,0.061127402,2.201824e-05,3.9099228e-05,1.6978927e-05,9.165957,0.458298,48655.01,155.5749,1.6978927e-05,0.0611274018883705,0.2705312967300415,1.2255108505487442,0.1951763028753252,198.18050697240423,5.74407,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,9.140747,34.17,77.38,2022-07-01 21:30:00+05:30,1
2022-07-01 17:00:00,282.3923,273.40002,281.56314,280.8249,55870.453,101017.55,0.0001967729,0.16706693,5.227102,0.030247228,3.9154725e-06,2.6354359e-05,8.41076e-06,9.1202135,0.41374063,48655.01,143.95859,8.41076e-06,0.0302472282201051,0.1881621722131967,0.7746592480689287,0.1670670476049381,180.0674834426723,5.227102,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,8.992279,34.17,77.38,2022-07-01 22:30:00+05:30,1
2022-07-01 18:00:00,282.0345,273.64603,280.71002,279.8319,55889.613,101113.27,0.10795728,0.11252447,4.600949,0.012446786,6.166612e-07,1.18194e-05,3.4591537e-06,9.140041,0.42369115,48655.01,143.30655,3.4591537e-06,0.0124467862769961,0.1038214163854718,0.5543090673163533,0.155937588146119,223.81331064425865,4.600949,,282.04718017578125,287.291015625,277.04822,287.97205,59.5883846282959,41.27569389343262,36.44397735595703,78.0380859375,8.388458,34.17,77.38,2022-07-01 23:30:00+05:30,1
2022-07-01 19:00:00,281.50824,273.81696,279.8319,279.2154,55861.105,101128.59,0.21875812,-0.010921297,3.8609073,0.027311403,2.0556034e-05,6.7656e-06,7.56979e-06,9.088236,0.43783447,48655.01,149.30109,7.56979e-06,0.0273114033043384,0.0700054178014397,0.3405367145314812,0.2190305692874602,272.85806582822653,3.8609073,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,7.691284,34.17,77.38,2022-07-02 00:30:00+05:30,1
2022-07-01 20:00:00,280.1602,273.73203,279.09494,278.56503,55851.43,101157.06,0.21008797,-0.11409953,3.6778836,0.013520793,5.0739786e-06,8.44204e-06,3.763046e-06,9.000407,0.43224323,48655.01,138.93576,3.763046e-06,0.0135207930579781,0.0532789826393127,0.2414411548525095,0.2390724960811087,298.5065441961499,3.6778836,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,6.4281616,34.17,77.38,2022-07-02 01:30:00+05:30,1
2022-07-01 21:00:00,279.78094,273.9385,278.47104,277.9624,55830.03,101156.914,0.16868064,-0.18310532,3.7511132,0.01804507,6.0409425e-06,1.2004068e-05,5.024796e-06,8.891175,0.4603119,48655.01,130.02493,5.024796e-06,0.0180450696498155,0.0588772660121321,0.162698682397604,0.2489592652982496,317.3480489608187,3.7511132,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,5.8424377,34.17,77.38,2022-07-02 02:30:00+05:30,1
2022-07-01 22:00:00,278.6761,273.93707,277.84332,277.35907,55806.047,101201.89,0.15605491,-0.28914428,3.820965,0.024725758,1.1440544e-05,1.3283203e-05,6.8856375e-06,8.918033,0.51803803,48655.01,52.823437,6.8856375e-06,0.0247257575392723,0.056291620247066,0.1262970380485057,0.3285689416786272,331.6436884062845,3.820965,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,4.7390137,34.17,77.38,2022-07-02 03:30:00+05:30,1
2022-07-01 23:00:00,278.36923,273.97314,277.28378,276.88623,55792.16,101227.24,-0.19847596,-0.2517654,3.9906518,0.016837249,8.582537e-06,8.250631e-06,4.6749437e-06,8.835002,0.49237496,48655.01,35.74504,4.6749437e-06,0.0168372485786676,0.0596080757677555,0.1128870584070682,0.3205908953751615,38.25001670094639,3.9906518,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,4.3960876,34.17,77.38,2022-07-02 04:30:00+05:30,1
2022-07-02 00:00:00,278.44696,274.0788,276.83005,276.42184,55815.29,101317.336,-0.24368134,-0.22508173,4.02165,0.007952622,3.1106617e-06,4.7976714e-06,2.1952235e-06,8.742784,0.5519816,48655.01,21.491879,2.1952235e-06,0.0079526221379637,0.0495156282559037,0.1083928942680358,0.3317263630455347,47.27219412232148,4.02165,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,4.368164,34.17,77.38,2022-07-02 05:30:00+05:30,1
2022-07-02 01:00:00,278.2447,273.94687,276.58197,276.0904,55828.926,101382.11,-0.368352,-0.23879693,4.0994697,0.0018513732,6.953654e-07,1.1877947e-06,5.092579e-07,8.641658,0.5025116,48655.01,15.747627,5.092579e-07,0.001851373235695,0.0266412439523264,0.0829328641993925,0.4389842466835109,57.04527899266452,4.0994697,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,4.297821,34.17,77.38,2022-07-02 06:30:00+05:30,1
